UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
PE;2020;01;185160955.63;80454870.5;0;FPE;FPE;
PE;2020;01;0;0;0;FPE;FUNDEF;
PE;2020;01;0;0;0;ICMS;FUNDEF;
PE;2020;01;0;0;0;FPM;FUNDEF;
PE;2020;01;0;0;0;IPI-EXP;FUNDEF;
PE;2020;01;0;0;0;COUN;FUNDEF;
PE;2020;01;0;0;0;LC 87;FUNDEF;
PE;2020;01;1726226.3;894834.55;0;IPI-EXP;IPI-Exp;
PE;2020;01;11385652.17;4947215.38;0;FPM;FUNDEB;
PE;2020;01;144842.26;75082.74;0;IPI-EXP;FUNDEB;
PE;2020;01;0;0;0;COUN;FUNDEB;
PE;2020;01;0;0;0;LC 87;FUNDEB;
PE;2020;01;10812.15;0;0;ITR;FUNDEB;
PE;2020;01;279604.26;5099347.27;0;IPVA;FUNDEB;
PE;2020;01;0;2255964;0;ITCMD;FUNDEB;
PE;2020;01;56747975.36;29597249.34;0;ICMS;FUNDEB;
PE;2020;01;15536270.32;6750713.75;0;FPE;FUNDEB;
PE;2020;01;0;73448.42;0;CFM;Royalties;
PI;2020;01;3962971.12;0;0;CIDE/Combustível;CIDE-Combustíveis;
PI;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
PI;2020;01;3616.98;0;0;IOF Ouro;IOF-Ouro;
PI;2020;01;115961066.88;50386608.69;0;FPE;FPE;
PI;2020;01;0;0;0;FPE;FUNDEF;
PI;2020;01;0;0;0;ICMS;FUNDEF;
PI;2020;01;0;0;0;FPM;FUNDEF;
PI;2020;01;0;0;0;IPI-EXP;FUNDEF;
PI;2020;01;0;0;0;COUN;FUNDEF;
PI;2020;01;0;0;0;LC 87;FUNDEF;
PI;2020;01;33854.16;17549.19;0;IPI-EXP;IPI-Exp;
PI;2020;01;5464993.09;2374610.93;0;FPM;FUNDEB;
PI;2020;01;2477.95;1284.52;0;IPI-EXP;FUNDEB;
PI;2020;01;0;0;0;COUN;FUNDEB;
PI;2020;01;0;0;0;LC 87;FUNDEB;
PI;2020;01;17899.65;0;0;ITR;FUNDEB;
PI;2020;01;394634.75;923777.79;0;IPVA;FUNDEB;
PI;2020;01;28265.68;13123.2;0;ITCMD;FUNDEB;
PI;2020;01;1916871.82;8626435.38;0;ICMS;FUNDEB;
PI;2020;01;8487619.43;3687982.23;0;FPE;FUNDEB;
PI;2020;01;0;25207.03;0;CFM;Royalties;
PR;2020;01;9993157.47;0;0;CIDE/Combustível;CIDE-Combustíveis;
PR;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
PR;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
PR;2020;01;77368201.99;33617501.33;0;FPE;FPE;
PR;2020;01;0;0;0;FPE;FUNDEF;
PR;2020;01;0;0;0;ICMS;FUNDEF;
PR;2020;01;0;0;0;FPM;FUNDEF;
PR;2020;01;0;0;0;IPI-EXP;FUNDEF;
PR;2020;01;0;0;0;COUN;FUNDEF;
PR;2020;01;0;0;0;LC 87;FUNDEF;
PR;2020;01;16185878.19;8390373.25;0;IPI-EXP;IPI-Exp;
PR;2020;01;23170751.26;10067995.01;0;FPM;FUNDEB;
PR;2020;01;1972367.95;1022428.54;0;IPI-EXP;FUNDEB;
PR;2020;01;0;0;0;COUN;FUNDEB;
PR;2020;01;0;0;0;LC 87;FUNDEB;
PR;2020;01;498275.59;0;0;ITR;FUNDEB;
PR;2020;01;10052205.95;16317490.77;0;IPVA;FUNDEB;
PR;2020;01;779904.14;508699.98;0;ITCMD;FUNDEB;
PR;2020;01;19271934.13;119682511.16;0;ICMS;FUNDEB;
PR;2020;01;9427882.86;4096539.09;0;FPE;FUNDEB;
PR;2020;01;0;276144.65;0;CFM;Royalties;
PR;2020;01;0;7080612.6;0;ITA;Royalties;
RJ;2020;01;7278048.65;0;0;CIDE/Combustível;CIDE-Combustíveis;
RJ;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
RJ;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
RJ;2020;01;40994520.73;17812658.42;0;FPE;FPE;
RJ;2020;01;0;0;0;FPE;FUNDEF;
RJ;2020;01;0;0;0;ICMS;FUNDEF;
RJ;2020;01;0;0;0;FPM;FUNDEF;
RJ;2020;01;0;0;0;IPI-EXP;FUNDEF;
RJ;2020;01;0;0;0;COUN;FUNDEF;
RJ;2020;01;0;0;0;LC 87;FUNDEF;
