Municipio;CodIBGE;UF;pop;ind1;nota1;ind2;nota2;ind3;nota3;classifica_CAPAG
Prefeitura Municipal de Putinga - RS;4315206;RS;4172;0,0235 ;A;0,8911 ;A;0,0220 ;A;A
Prefeitura Municipal de Caraúbas - PB;2504074;PB;4171;0,0102 ;A;0,9483 ;B;0,3375 ;A;B
Prefeitura Municipal de Alto Alegre - SP;3501103;SP;4164;0,0355 ;A;0,9776 ;C;2,9989 ;C;C
Prefeitura Municipal de Marques de Souza - RS;4312054;RS;4163;;;0,8703 ;A;0,0768 ;A;
Prefeitura Municipal de Campo Bonito - PR;4104055;PR;4162;0,0380 ;A;0,8601 ;A;0,1745 ;A;A
Prefeitura Municipal de Itapirapuã Paulista - SP;3522653;SP;4161;0,0313 ;A;0,9427 ;B;;;
Prefeitura Municipal de São Valério - TO;1720499;TO;4161;0,1147 ;A;1,0465 ;C;0,0484 ;A;C
Prefeitura Municipal de Ibirapuitã - RS;4309951;RS;4159;0,0041 ;A;0,9356 ;B;;;
Prefeitura Municipal de Nova Rosalândia - TO;1715002;TO;4159;0,0986 ;A;0,9878 ;C;;;
Prefeitura Municipal de Cruzeiro da Fortaleza - MG;3120706;MG;4158;0,0323 ;A;0,9759 ;C;;;
Prefeitura Municipal de Presidente Alves - SP;3541109;SP;4155;0,1196 ;A;0,9466 ;B;;;
Prefeitura Municipal de Fazenda Vilanova - RS;4308078;RS;4148;;;0,8567 ;A;0,2216 ;A;
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4148;0,0320 ;A;0,8505 ;A;;;
Prefeitura Municipal de Leópolis - PR;4113403;PR;4147;0,2743 ;A;0,8960 ;A;0,4236 ;A;A
Prefeitura Municipal de Tocos do Moji - MG;3169059;MG;4147;0,0000 ;A;0,8776 ;A;0,0054 ;A;A
Prefeitura Municipal de Prata - PB;2512200;PB;4145;0,0441 ;A;0,9650 ;C;0,3031 ;A;C
Prefeitura Municipal de Bugre - MG;3109253;MG;4140;0,0560 ;A;0,8843 ;A;;;
Prefeitura Municipal de São José do Sabugi - PB;2514701;PB;4135;0,4755 ;A;0,9665 ;C;6,6992 ;C;C
Prefeitura Municipal de Marliéria - MG;3140308;MG;4129;0,0174 ;A;0,9937 ;C;0,6234 ;A;C
Prefeitura Municipal de Sandovalina - SP;3545506;SP;4126;0,0613 ;A;0,9256 ;B;;;
Prefeitura Municipal de Novo Cabrais - RS;4313391;RS;4125;;;0,9679 ;C;0,2093 ;A;
Prefeitura Municipal de Alfredo Marcondes - SP;3500808;SP;4118;;;0,9798 ;C;0,2965 ;A;
Prefeitura Municipal de Nazaré - TO;1714302;TO;4118;0,0519 ;A;0,9757 ;C;0,2536 ;A;C
Prefeitura Municipal de Lagoa do Tocantins - TO;1711951;TO;4115;0,4996 ;A;0,8699 ;A;0,0429 ;A;A
Prefeitura Municipal de Cajuri - MG;3110202;MG;4114;0,0021 ;A;1,0373 ;C;1,6558 ;C;C
Prefeitura Municipal de Aporé - GO;5201504;GO;4110;0,0942 ;A;0,9537 ;C;;;
Prefeitura Municipal de Jaquirana - RS;4311122;RS;4110;0,0901 ;A;0,9301 ;B;0,4377 ;A;B
Prefeitura Municipal de Rio Branco do Ivaí - PR;4122172;PR;4104;;;4,2401 ;C;-7,5656 ;C;
Prefeitura Municipal de Carrancas - MG;3114600;MG;4103;;;0,9201 ;B;;;
Prefeitura Municipal de Iraceminha - SC;4207759;SC;4103;;;0,9264 ;B;0,0256 ;A;
Prefeitura Municipal de Virmond - PR;4128658;PR;4090;0,0395 ;A;0,9048 ;B;4,0602 ;C;C
Prefeitura Municipal de Santo Antônio do Grama - MG;3160108;MG;4087;;;0,9771 ;C;-0,0116 ;C;
Prefeitura Municipal de Altair - SP;3500907;SP;4085;0,2087 ;A;0,9512 ;C; -   ;;
Prefeitura Municipal de Alegria - RS;4300455;RS;4085;0,0177 ;A;0,8317 ;A;0,2803 ;A;A
Prefeitura Municipal de Jaboticaba - RS;4310850;RS;4082;;;0,9734 ;C;-0,1264 ;C;
Prefeitura Municipal de Mariápolis - SP;3528908;SP;4079;0,0418 ;A;0,9605 ;C;0,0217 ;A;C
Prefeitura Municipal de Salgado Filho - PR;4122800;PR;4072;;;0,8856 ;A; -   ;;
Prefeitura Municipal de Morro Cabeça no Tempo - PI;2206654;PI;4070;0,0001 ;A;1,0039 ;C;;;
Prefeitura Municipal de Nossa Senhora das Graças - PR;4116406;PR;4070;0,3311 ;A;;;13,2436 ;C;
Prefeitura Municipal de Bonópolis - GO;5203575;GO;4069;0,1744 ;A;0,9532 ;C;0,4347 ;A;C
Prefeitura Municipal de Barcelona - RN;2401503;RN;4065;0,1806 ;A;;;-0,9680 ;C;
Prefeitura Municipal de Acaiaca - MG;3100401;MG;4065;0,0055 ;A;0,9722 ;C;1,1576 ;C;C
Prefeitura Municipal de Campina do Simão - PR;4103958;PR;4062;0,0814 ;A;0,8356 ;A;10,2201 ;C;C
Prefeitura Municipal de Tibau - RN;2411056;RN;4060;0,1952 ;A;0,9173 ;B;;;
Prefeitura Municipal de Canhoba - SE;2801108;SE;4057;;;0,9540 ;C;9,1708 ;C;
Prefeitura Municipal de Taquaraçu de Minas - MG;3168309;MG;4053;0,4754 ;A;0,9878 ;C;8,1549 ;C;C
Prefeitura Municipal de Conceição da Barra de Minas - MG;3115201;MG;4052;0,0403 ;A;0,9381 ;B;0,2012 ;A;B
Prefeitura Municipal de Paranapuã - SP;3535903;SP;4051;0,0112 ;A;0,9024 ;B;0,0408 ;A;B
Prefeitura Municipal de Lajedão - BA;2918902;BA;4046;0,2129 ;A;0,9065 ;B;0,5975 ;A;B
Prefeitura Municipal de Corumbataí - SP;3512704;SP;4045;0,0308 ;A;0,9720 ;C;0,0592 ;A;C
Prefeitura Municipal de Pejuçara - RS;4314308;RS;4043;0,0471 ;A;0,8599 ;A;0,5052 ;A;A
Prefeitura Municipal de Ribeirão Vermelho - MG;3154705;MG;4042;0,0789 ;A;1,0035 ;C;4,2174 ;C;C
Prefeitura Municipal de Novo Horizonte do Sul - MS;5006259;MS;4041;0,0265 ;A;0,9429 ;B;0,2994 ;A;B
Prefeitura Municipal de Santo Antônio do Itambé - MG;3160207;MG;4040;0,2306 ;A;0,9751 ;C;0,9488 ;A;C
Prefeitura Municipal de Dona Emma - SC;4205100;SC;4039;;;0,9476 ;B;0,2033 ;A;
Prefeitura Municipal de Xavantina - SC;4219606;SC;4039;;;0,9521 ;C;0,0041 ;A;
Prefeitura Municipal de Lajedinho - BA;2919009;BA;4032;0,0618 ;A;0,9271 ;B;0,1956 ;A;B
Prefeitura Municipal de Jateí - MS;5005103;MS;4031;0,1484 ;A;0,9037 ;B;0,5843 ;A;B
Prefeitura Municipal de Portelândia - GO;5218102;GO;4030;0,2882 ;A;0,9678 ;C;4,7793 ;C;C
Prefeitura Municipal de Pedra do Indaiá - MG;3148905;MG;4028;0,0437 ;A;0,9432 ;B;;;
Prefeitura Municipal de Anhumas - SP;3502408;SP;4026;0,0410 ;A;;;;;
Prefeitura Municipal de Chiapetta - RS;4305405;RS;4026;0,0414 ;A;0,9253 ;B;0,0707 ;A;B
Prefeitura Municipal de Pedras Grandes - SC;4212403;SC;4026;0,0222 ;A;0,9194 ;B;0,0267 ;A;B
Prefeitura Municipal de Santana do Deserto - MG;3158607;MG;4024;;;0,9751 ;C;0,5870 ;A;
Prefeitura Municipal de Capitão Gervásio Oliveira - PI;2202455;PI;4021;0,5229 ;A;1,0723 ;C;3,3053 ;C;C
Prefeitura Municipal de Carrasco Bonito - TO;1703891;TO;4019;0,6267 ;B;0,9224 ;B;0,0120 ;A;B
Prefeitura Municipal de Mãe d'Água - PB;2508703;PB;4017;0,0056 ;A;0,9803 ;C;1,3494 ;C;C
Prefeitura Municipal de Rio Quente - GO;5218789;GO;4014;0,1441 ;A;0,8837 ;A;;;
Prefeitura Municipal de Quatro Pontes - PR;4120853;PR;4014;0,0585 ;A;0,8820 ;A;0,0016 ;A;A
Prefeitura Municipal de São Miguel do Passa Quatro - GO;5220264;GO;4013;0,0896 ;A;0,7781 ;A;10.647,2916 ;C;C
Prefeitura Municipal de Jaborá - SC;4208609;SC;4006;;;0,9470 ;B;0,0599 ;A;
Prefeitura Municipal de Cotiporã - RS;4305959;RS;4000;0,0379 ;A;0,8408 ;A;0,2461 ;A;A
Prefeitura Municipal de Cumbe - SE;2801900;SE;3999;;;0,9020 ;B;37,0786 ;C;
Prefeitura Municipal de Lafaiete Coutinho - BA;2918704;BA;3996;0,4857 ;A;0,9214 ;B;13,9539 ;C;C
Prefeitura Municipal de Ouro Verde de Goiás - GO;5215405;GO;3993;0,0892 ;A;0,9071 ;B;;;
Prefeitura Municipal de Tabuleiro - MG;3167905;MG;3991;0,0382 ;A;0,9685 ;C;-0,7304 ;C;C
Prefeitura Municipal de Doutor Pedrinho - SC;4205159;SC;3990;;;0,8746 ;A;0,0116 ;A;
Prefeitura Municipal de Pontão - RS;4314779;RS;3988;0,0731 ;A;0,8148 ;A;0,1004 ;A;A
Prefeitura Municipal de Lagoa do Piauí - PI;2205581;PI;3987;0,0017 ;A;1,0401 ;C;3,6295 ;C;C
Prefeitura Municipal de Santa Fé de Minas - MG;3157609;MG;3985;0,5748 ;A;0,9903 ;C;2,6075 ;C;C
Prefeitura Municipal de Rancho Alegre - PR;4121307;PR;3977;0,0185 ;A;0,9166 ;B;;;
Prefeitura Municipal de Lucrécia - RN;2406908;RN;3968;0,0108 ;A;0,9474 ;B;;;
Prefeitura Municipal de Minduri - MG;3141900;MG;3967;0,1245 ;A;0,9217 ;B;1,3993 ;C;C
Prefeitura Municipal de Indiaporã - SP;3520707;SP;3960;0,4418 ;A;0,9671 ;C;4,8081 ;C;C
Prefeitura Municipal de Pau D'Arco do Piauí - PI;2207793;PI;3957;0,1656 ;A;25,0709 ;C; -   ;;
Prefeitura Municipal de Major Sales - RN;2407252;RN;3955;;;1,0281 ;C;0,0582 ;A;
Prefeitura Municipal de Santa Lúcia - PR;4123824;PR;3955;;;0,9488 ;B;0,1641 ;A;
Prefeitura Municipal de Guarará - MG;3128501;MG;3951;0,0240 ;A;1,0016 ;C;1,3159 ;C;C
Prefeitura Municipal de São José do Divino - MG;3163300;MG;3946;0,1350 ;A;0,9348 ;B;;;
Prefeitura Municipal de Itatiba do Sul - RS;4310702;RS;3944;0,0056 ;A;0,8589 ;A;0,1797 ;A;A
Prefeitura Municipal de Coivaras - PI;2202737;PI;3942;0,1368 ;A;0,9723 ;C;4,7351 ;C;C
Prefeitura Municipal de Guapirama - PR;4109005;PR;3942;0,0059 ;A;0,9014 ;B;0,1602 ;A;B
Prefeitura Municipal de Santa Cruz dos Milagres - PI;2209153;PI;3940;0,0097 ;A;0,9558 ;C;;;
Prefeitura Municipal de Ewbank da Câmara - MG;3125002;MG;3940;0,0479 ;A;0,9715 ;C;2,2704 ;C;C
Prefeitura Municipal de Caxambu do Sul - SC;4204103;SC;3939;0,0030 ;A;0,8505 ;A;0,0096 ;A;A
Prefeitura Municipal de Bela Vista do Piauí - PI;2201556;PI;3934;0,0072 ;A;0,9752 ;C; -   ;;
Prefeitura Municipal de Munhoz de Melo - PR;4116307;PR;3934;0,1264 ;A;0,8562 ;A;0,1341 ;A;A
Prefeitura Municipal de Nova Brasilândia - MT;5106208;MT;3931;0,0034 ;A;0,9632 ;C;0,1570 ;A;C
